Weight,Transport_Mode,Fare,Origin_Location,Origin_pincode,Destination_Location,Destination_pincode,Distance
11,Surface,539,Visakhapatnam,530001,Bengaluru,560001,984
12,Air,2011,Visakhapatnam,530001,Thiruvananthapuram,695001,1376
12,Surface,501,Visakhapatnam,530001,Thiruvananthapuram,695001,1376
13,Air,2175,Visakhapatnam,530001,Kozhikode,673001,1346
13,Surface,539,Visakhapatnam,530001,Kozhikode,673001,1346
14,Air,1891,Visakhapatnam,530001,Bhopal,462001,776
14,Surface,760,Visakhapatnam,530001,Bhopal,462001,776
15,Air,2023,Visakhapatnam,530001,Indore,452001,585
15,Surface,626,Visakhapatnam,530001,Indore,452001,585
5,Air,668,Visakhapatnam,530001,Mumbai,400001,778
5,Surface,353,Visakhapatnam,530001,Mumbai,400001,778
4,Air,453,Visakhapatnam,530001,Pune,411001,720
4,Surface,289,Visakhapatnam,530001,Pune,411001,720
3,Air,353,Visakhapatnam,530001,Nagpur,440001,838
3,Surface,229,Visakhapatnam,530001,Nagpur,440001,838
2,Air,865,Visakhapatnam,530001,Imphal,795001,2909
2,Surface,368,Visakhapatnam,530001,Imphal,795001,2909
1,Air,165,Visakhapatnam,530001,Shillong,793001,2562
1,Surface,114,Visakhapatnam,530001,Shillong,793001,2562
7,Air,1085,Visakhapatnam,530001,Aizawl,796001,2943
7,Surface,506,Visakhapatnam,530001,Aizawl,796001,2943
8,air,1355,Visakhapatnam,530001,Kohima,797001,2765
8,Surface,471,Visakhapatnam,530001,Kohima,797001,2765
9,Air,1447,Visakhapatnam,530001,Bhubaneswar,751001,1303
9,Surface,496,Visakhapatnam,530001,Bhubaneswar,751001,1303
3,Air,1231,Visakhapatnam,530001,Jaipur,302001,1144
3,Surface,536,Visakhapatnam,530001,Jaipur,302001,1144
4,Air,478,Visakhapatnam,530001,Kota,324001,1002
4,Surface,298,Visakhapatnam,530001,Kota,324001,1002
5,Air,801,Visakhapatnam,530001,Gangtok,737101,2466
5,Surface,390,Visakhapatnam,530001,Gangtok,737101,2466
5,Air,863,Dispur,781005,Amaravati,522020,2000
5,Surface,321,Dispur,781005,Amaravati,522020,2000
22,Air,3651,Dispur,781005,Visakhapatnam,530001,1100
22,Surface,877,Dispur,781005,Visakhapatnam,530001,1100
10,Air,1683,Dispur,781005,Itanagar,791111,350
10,Surface,425,Dispur,781005,Itanagar,791111,350
12,Air,2011,Dispur,781005,Patna,800001,1000
12,Surface,502,Dispur,781005,Patna,800001,1000
8,Air,1355,Dispur,781005,Raipur,492001,1100
8,Surface,425,Dispur,781005,Raipur,492001,1100
6,Air,938,Dispur,781005,Panaji,403001,2800
6,Surface,373,Dispur,781005,Panaji,403001,2800
15,Air,2503,Dispur,781005,Gandhinagar,382010,2200
15,Surface,603,Dispur,781005,Gandhinagar,382010,2200
5,Air,791,Dispur,781005,Ahmedabad,380001,2200
5,Surface,321,Dispur,781005,Ahmedabad,380001,2200
22,Air,3651,Dispur,781005,Chandigarh,160017,2000
22,Surface,836,Dispur,781005,Chandigarh,160017,2000
6,Air,938,Dispur,781005,Shimla,171001,2200
6,Surface,373,Dispur,781005,Shimla,171001,2200
10,Air,1683,Dispur,781005,Ranchi,834001,1000
10,Surface,425,Dispur,781005,Ranchi,834001,1000
14,Air,2339,Dispur,781005,Bengaluru,560001,2500
14,Surface,569,Dispur,781005,Bengaluru,560001,2500
9,Air,1519,Dispur,781005,Thiruvananthapuram,695001,3000
9,Surface,425,Dispur,781005,Thiruvananthapuram,695001,3000
6,Air,938,Dispur,781005,Kozhikode,673001,2900
6,Surface,378,Dispur,781005,Kozhikode,673001,2900
18,Air,2995,Dispur,781005,Bhopal,462001,1800
18,Surface,804,Dispur,781005,Bhopal,462001,1800
14,Air,2339,Dispur,781005,Indore,452001,1900
14,Surface,569,Dispur,781005,Indore,452001,1900
19,Air,3159,Dispur,781005,Mumbai,400001,2500
19,Surface,804,Dispur,781005,Mumbai,400001,2500
13,Air,2175,Dispur,781005,Pune,411001,2700
13,Surface,536,Dispur,781005,Pune,411001,2700
9,Air,1519,Dispur,781005,Nagpur,440001,1800
9,Surface,424,Dispur,781005,Nagpur,440001,1800
5,Air,801,Dispur,781005,Shillong,793001,100
5,Surface,321,Dispur,781005,Shillong,793001,100
13,Air,2175,Dispur,781005,Aizawl,796001,1200
13,Surface,848,Dispur,781005,Aizawl,796001,1200
11,Air,1847,Dispur,781005,Kohima,797001,300
11,Surface,592,Dispur,781005,Kohima,797001,300
16,Air,2667,Dispur,781005,Bhubaneswar,751001,1100
16,Surface,636,Dispur,781005,Bhubaneswar,751001,1100
17,Air,2831,Dispur,781005,Jaipur,302001,1800
17,Surface,669,Dispur,781005,Jaipur,302001,1800
20,Air,3323,Dispur,781005,Kota,324001,1900
20,Surface,770,Dispur,781005,Kota,324001,1900
10,Air,1683,Dispur,781005,Gangtok,737101,1200
10,Surface,532,Dispur,781005,Gangtok,737101,1200
18,Air,2995,Dispur,781005,Chennai,600001,2200
18,Surface,804,Dispur,781005,Chennai,600001,2200
12,Air,2011,Dispur,781005,Coimbatore,641001,2500
12,Surface,501,Dispur,781005,Coimbatore,641001,2500
8,Air,1355,Dispur,781005,Hyderabad,500001,2000
8,Surface,425,Dispur,781005,Hyderabad,500001,2000
4,Air,489,Dispur,781005,Agartala,799001,1500
4,Surface,376,Dispur,781005,Agartala,799001,1500
12,Air,2011,Dispur,781005,Lucknow,226001,1200
12,Surface,501,Dispur,781005,Lucknow,226001,1200
6,Air,1027,Dispur,781005,Kanpur,208001,1200
6,Surface,373,Dispur,781005,Kanpur,208001,1200
12,Air,2011,Dispur,781005,Varanasi,221001,1100
12,Surface,501,Dispur,781005,Varanasi,221001,1100
5,Air,791,Dispur,781005,Dehradun,248001,1800
5,Surface,329,Dispur,781005,Dehradun,248001,1800
9,Air,1519,Dispur,781005,Gairsain,246401,1900
